DATE,FEDFUNDS
1998-12-01,4.68
1999-01-01,4.63
1999-02-01,4.76
1999-03-01,4.81
1999-04-01,4.74
1999-05-01,4.74
1999-06-01,4.76
1999-07-01,4.99
1999-08-01,5.07
1999-09-01,5.22
1999-10-01,5.20
1999-11-01,5.42
1999-12-01,5.30
2000-01-01,5.45
2000-02-01,5.73
2000-03-01,5.85
2000-04-01,6.02
2000-05-01,6.27
2000-06-01,6.53
2000-07-01,6.54
2000-08-01,6.50
2000-09-01,6.52
2000-10-01,6.51
2000-11-01,6.51
2000-12-01,6.40
2001-01-01,5.98
2001-02-01,5.49
2001-03-01,5.31
2001-04-01,4.8
2001-05-01,4.21
2001-06-01,3.97
2001-07-01,3.77
2001-08-01,3.65
2001-09-01,3.07
2001-10-01,2.49
2001-11-01,2.09
2001-12-01,1.82
2002-01-01,1.73
2002-02-01,1.74
2002-03-01,1.73
2002-04-01,1.75
2002-05-01,1.75
2002-06-01,1.75
2002-07-01,1.73
2002-08-01,1.74
2002-09-01,1.75
2002-10-01,1.75
2002-11-01,1.34
2002-12-01,1.24
2003-01-01,1.24
2003-02-01,1.26
2003-03-01,1.25
2003-04-01,1.26
2003-05-01,1.26
2003-06-01,1.22
2003-07-01,1.01
2003-08-01,1.03
2003-09-01,1.01
2003-10-01,1.01
2003-11-01,1.00
2003-12-01,0.98
2004-01-01,1.00
