DATE,CPIAUCSL
1999-02-01,164.7
1999-03-01,164.8
1999-04-01,165.9
1999-05-01,166.0
1999-06-01,166.0
1999-07-01,166.7
1999-08-01,167.1
1999-09-01,167.8
1999-10-01,168.1
1999-11-01,168.4
1999-12-01,168.8
2000-01-01,169.3
2000-02-01,170.0
2000-03-01,171.0
2000-04-01,170.9
2000-05-01,171.2
2000-06-01,172.2
2000-07-01,172.7
2000-08-01,172.7
2000-09-01,173.6
2000-10-01,173.9
2000-11-01,174.2
2000-12-01,174.6
2001-01-01,175.6
2001-02-01,176.0
2001-03-01,176.1
2001-04-01,176.4
2001-05-01,177.3
2001-06-01,177.7
2001-07-01,177.4
2001-08-01,177.4
2001-09-01,178.1
2001-10-01,177.6
2001-11-01,177.5
2001-12-01,177.4
2002-01-01,177.7
2002-02-01,178.0
2002-03-01,178.5
2002-04-01,179.3
2002-05-01,179.5
2002-06-01,179.6
2002-07-01,180.0
2002-08-01,180.5
2002-09-01,180.8
2002-10-01,181.2
2002-11-01,181.5
2002-12-01,181.8
2003-01-01,182.600
2003-02-01,183.600
2003-03-01,183.900
2003-04-01,183.200
2003-05-01,182.900
2003-06-01,183.100
2003-07-01,183.700
2003-08-01,184.5
2003-09-01,185.100
2003-10-01,184.9
2003-11-01,185.000
2003-12-01,185.500
2004-01-01,186.300
2004-02-01,186.700
2004-03-01,187.100
2004-04-01,187.400
2004-05-01,188.200
2004-06-01,188.900
2004-07-01,189.100
2004-08-01,189.200
2004-09-01,189.800
2004-10-01,190.8
2004-11-01,191.700
2004-12-01,191.700
2005-01-01,191.600
